Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68237ec42191c1c929630a56,63d7e5f60432d71a6670d0ba,AWAITING REVIEW,Not Applicable,2025-05-13T17:18:00.311000Z,2025-05-13T17:19:45.457000Z,,2025-05-13T17:19:46.056002Z,106.0,2B73928C,945,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68237f0827b6f6d2dc77941d,674a317122c5f8223e47d5f5,AWAITING REVIEW,Not Applicable,2025-05-13T17:19:09.151000Z,2025-05-13T17:21:01.946000Z,,2025-05-13T17:21:02.564305Z,113.0,2B73928C,632,22,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68237f1167301050854af95d,65845f67f9ed8c08c8e58949,AWAITING REVIEW,Not Applicable,2025-05-13T17:23:59.043000Z,2025-05-13T17:26:16.995000Z,,2025-05-13T17:26:17.565147Z,138.0,2B73928C,1597,73,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68237f13316481aa7ba25995,5ed6a80ac3b8620fd41f5fd6,AWAITING REVIEW,Not Applicable,2025-05-13T17:19:19.557000Z,2025-05-13T17:22:35.194000Z,,2025-05-13T17:22:35.801765Z,196.0,2B73928C,2070,42,Female,White,United States,United States,United States,English,No,Full-Time
68237f1340703572e36950a9,5f59275d9a49e2140887ec41,AWAITING REVIEW,Not Applicable,2025-05-13T17:19:20.852000Z,2025-05-13T17:22:09.606000Z,,2025-05-13T17:22:10.263573Z,169.0,2B73928C,1950,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68237f1bb5d02be6bd37bc3d,67c05d920a5adc5953cc3de7,AWAITING REVIEW,Not Applicable,2025-05-13T17:19:27.349000Z,2025-05-13T17:21:49.517000Z,,2025-05-13T17:21:50.147882Z,143.0,2B73928C,229,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68237f1f69aacbb380c69859,546e8bc6fdf99b2bc7ebd029,AWAITING REVIEW,Not Applicable,2025-05-13T17:19:27.295000Z,2025-05-13T17:23:25.774000Z,,2025-05-13T17:23:26.319233Z,239.0,2B73928C,4145,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68237f325c13e44739b5f94d,59b5a275c05bb50001eb3c4b,AWAITING REVIEW,Not Applicable,2025-05-13T17:19:51.162000Z,2025-05-13T17:21:25.180000Z,,2025-05-13T17:21:25.864183Z,95.0,2B73928C,1677,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68237f440af06a95e936df8c,5dc0e5d927d0520845f47856,AWAITING REVIEW,Not Applicable,2025-05-13T17:20:04.058000Z,2025-05-13T17:27:06.479000Z,,2025-05-13T17:27:07.083929Z,423.0,2B73928C,664,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68237f4d5800726d103fb070,67871258329b1d6941040ada,AWAITING REVIEW,Not Applicable,2025-05-13T17:20:13.864000Z,2025-05-13T17:23:37.255000Z,,2025-05-13T17:23:37.863774Z,204.0,2B73928C,872,48,Female,Mixed,United States,United States,United States,English,No,Part-Time
68237f5e9c80c6381a4c97e0,631c8e97db06f601f81bd82f,AWAITING REVIEW,Not Applicable,2025-05-13T17:21:16.136000Z,2025-05-13T17:26:13.531000Z,,2025-05-13T17:26:14.156132Z,298.0,2B73928C,8758,28,Male,White,United States,United States,United States,English,No,Full-Time
68237f72e530d3f8c6486bf4,67739b170f0b2ff8e3f0914d,AWAITING REVIEW,Not Applicable,2025-05-13T17:20:57.979000Z,2025-05-13T17:25:18.777000Z,,2025-05-13T17:25:19.310199Z,261.0,2B73928C,213,35,Male,Black,United States,United States,United States,English,No,Full-Time
68237f73b04b6878188111f7,67d1757dde5c6b0a78a7715a,AWAITING REVIEW,Not Applicable,2025-05-13T17:21:54.649000Z,2025-05-13T17:27:34.883000Z,,2025-05-13T17:27:35.662531Z,341.0,2B73928C,281,34,Male,Asian,Pakistan,United Kingdom,Pakistan,English,No,Full-Time
68237f83c01c32b14ee7b255,668bf688d58206e61f399a88,AWAITING REVIEW,Not Applicable,2025-05-13T17:21:12.889000Z,2025-05-13T17:23:06.637000Z,,2025-05-13T17:23:07.240959Z,114.0,2B73928C,1988,43,Male,Black,United States,United States,United States,English,No,Full-Time
68237f8dc464c0b2e0a3e5da,5d20b0157e17470001e1c635,AWAITING REVIEW,Not Applicable,2025-05-13T17:21:47.398000Z,2025-05-13T17:23:50.097000Z,,2025-05-13T17:23:50.678801Z,123.0,2B73928C,1485,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68237f98453113f96e25a584,67c719f77b0b26bb76790bb4,AWAITING REVIEW,Not Applicable,2025-05-13T17:21:28.023000Z,2025-05-13T17:25:01.777000Z,,2025-05-13T17:25:02.542735Z,214.0,2B73928C,247,31,Male,Black,United States,United States,United States,English,No,Full-Time
68237fb14afc0f34e0400b01,5654166804212700054a12aa,AWAITING REVIEW,Not Applicable,2025-05-13T17:23:25.643000Z,2025-05-13T17:25:29.612000Z,,2025-05-13T17:25:30.255113Z,124.0,2B73928C,3713,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
68237fc3783b24271d46fca1,65e1e16d9f7eaa10f3454025,AWAITING REVIEW,Not Applicable,2025-05-13T17:22:11.491000Z,2025-05-13T17:24:11.958000Z,,2025-05-13T17:24:12.536414Z,121.0,2B73928C,1173,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68237fe3b07241379cc13410,67d468741ef9f4c14f6bb02c,AWAITING REVIEW,Not Applicable,2025-05-13T17:24:55.158000Z,2025-05-13T17:29:42.069000Z,,2025-05-13T17:29:42.806344Z,287.0,2B73928C,646,19,Female,White,United States,United States,United States,English,Yes,Other
68237ff096d9be9ff523abf0,66e8f81e357d882730f18be0,AWAITING REVIEW,Not Applicable,2025-05-13T17:22:56.579000Z,2025-05-13T17:32:08.450000Z,,2025-05-13T17:32:08.972078Z,552.0,2B73928C,2746,53,Female,Asian,Philippines,United States,United States,English,Yes,Full-Time
68237ff2c01c32b14ee7b269,5e2f4ab6fb987e078bf5f68e,AWAITING REVIEW,Not Applicable,2025-05-13T17:23:04.769000Z,2025-05-13T17:26:22.390000Z,,2025-05-13T17:26:22.983192Z,198.0,2B73928C,2756,52,Female,White,United States,United States,United States,English,No,Full-Time
68238008c383f43e33facaa0,67e888b9bca4f2c0db8a06fa,AWAITING REVIEW,Not Applicable,2025-05-13T17:23:27.809000Z,2025-05-13T17:27:14.030000Z,,2025-05-13T17:27:14.671980Z,227.0,2B73928C,393,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
6823800d05c12b08688f20ee,6727814a4993a44cbf5198f5,AWAITING REVIEW,Not Applicable,2025-05-13T17:23:25.808000Z,2025-05-13T17:25:30.325000Z,,2025-05-13T17:25:30.986117Z,125.0,2B73928C,318,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6823801a7480389f0b5dbe9e,597d14341fc28a00019186d4,AWAITING REVIEW,Not Applicable,2025-05-13T17:23:50.406000Z,2025-05-13T17:27:41.467000Z,,2025-05-13T17:27:42.110943Z,232.0,2B73928C,1495,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68238029ecb1d52f14a01c83,6713eb5e48cc2fd21195379f,AWAITING REVIEW,Not Applicable,2025-05-13T17:23:57.289000Z,2025-05-13T17:26:46.464000Z,,2025-05-13T17:26:47.072034Z,170.0,2B73928C,1450,27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6823806f8d7dd7a3d15c0b3b,67dbe2c38614c922a6a8dbe5,AWAITING REVIEW,Not Applicable,2025-05-13T17:25:08.576000Z,2025-05-13T17:26:45.694000Z,,2025-05-13T17:26:46.244951Z,98.0,2B73928C,270,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
682380774d9df7c01f425ee8,67d904eb86974453d6e99638,AWAITING REVIEW,Not Applicable,2025-05-13T17:25:11.683000Z,2025-05-13T17:30:59.672000Z,,2025-05-13T17:31:00.322776Z,348.0,2B73928C,353,62,Male,White,United States,United States,United States,English,No,Other
682380837fe6b92ed4bcff36,5d012930cfeb82001817c9c9,AWAITING REVIEW,Not Applicable,2025-05-13T17:25:23.533000Z,2025-05-13T17:27:48.952000Z,,2025-05-13T17:27:49.510305Z,146.0,2B73928C,9199,34,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6823808acc099a7e52521564,5c0cb29e1b80df00017843d2,AWAITING REVIEW,Not Applicable,2025-05-13T17:25:35.518000Z,2025-05-13T17:29:18.073000Z,,2025-05-13T17:29:18.721389Z,223.0,2B73928C,1703,33,Female,Asian,India,United Kingdom,India,English,No,Unemployed (and job seeking)
6823808cda2e3b63f6b17b10,6654a8a5b80ff7608a7ad803,AWAITING REVIEW,Not Applicable,2025-05-13T17:26:13.087000Z,2025-05-13T17:33:33.570000Z,,2025-05-13T17:33:34.108014Z,441.0,2B73928C,51,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
