Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681bf4d1fea9ea70060f0ac1,611341c34be95409850e4341,AWAITING REVIEW,Not Applicable,2025-05-08T00:03:29Z,2025-05-08T00:07:24Z,NA,2025-05-08T00:07:25Z,236,2B73928C,4767,54,Female,White,United States,United States,United States,English,No,Full-Time
681bf528fc936602163c99f7,67363452674f3db8059e7888,AWAITING REVIEW,Not Applicable,2025-05-08T00:04:56Z,2025-05-08T00:08:49Z,NA,2025-05-08T00:08:50Z,234,2B73928C,1202,47,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bf53924024aa65f22c839,67e454623e6de5fb43257f74,AWAITING REVIEW,Not Applicable,2025-05-08T00:08:04Z,2025-05-08T00:16:52Z,NA,2025-05-08T00:16:53Z,529,2B73928C,306,18,Female,White,United States,United States,United States,English,Yes,Full-Time
681bf547006c6e5fa648dac8,5dfdc45e617219a8e2e05c26,AWAITING REVIEW,Not Applicable,2025-05-08T00:05:26Z,2025-05-08T00:08:14Z,NA,2025-05-08T00:08:15Z,168,2B73928C,8756,28,Male,Black,United States,United States,United States,English,Yes,Full-Time
681bf549eb93a351f1185068,66f4c82536b5c8271f53564c,AWAITING REVIEW,Not Applicable,2025-05-08T00:05:35Z,2025-05-08T00:11:03Z,NA,2025-05-08T00:11:04Z,328,2B73928C,892,30,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bf576e4f3a7c1b4010bca,67e7cdfb2d3c81d83ccef700,AWAITING REVIEW,Not Applicable,2025-05-08T00:06:20Z,2025-05-08T00:09:48Z,NA,2025-05-08T00:09:49Z,209,2B73928C,354,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
681bf5779fd48704a7bafd9f,643db5baa695a720a1bbdb4f,AWAITING REVIEW,Not Applicable,2025-05-08T00:06:35Z,2025-05-08T00:10:31Z,NA,2025-05-08T00:10:32Z,236,2B73928C,575,33,Male,White,United States,United States,United States,English,No,Part-Time
681bf59ca407e705ff549fde,62b9c2f1e55fe9f17dfedc5d,AWAITING REVIEW,Not Applicable,2025-05-08T00:07:00Z,2025-05-08T00:11:19Z,NA,2025-05-08T00:11:20Z,259,2B73928C,6989,46,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
681bf5bd10e344c4b68f8e72,67eaa8044e370fe61f1764a0,AWAITING REVIEW,Not Applicable,2025-05-08T00:07:48Z,2025-05-08T00:13:23Z,NA,2025-05-08T00:13:24Z,336,2B73928C,431,42,Female,White,United States,United States,United States,English,No,Part-Time
681bf5be0fa51a91c7fe447e,63a2844c9d6acbec7228a420,AWAITING REVIEW,Not Applicable,2025-05-08T00:07:32Z,2025-05-08T00:19:07Z,NA,2025-05-08T00:19:08Z,696,2B73928C,6004,53,Female,Black,Nigeria,United States,United States,English,DATA_EXPIRED,Full-Time
681bf5cdcf8c74c4bde5e14e,676f1188960410219e5ea0a8,AWAITING REVIEW,Not Applicable,2025-05-08T00:07:50Z,2025-05-08T00:10:27Z,NA,2025-05-08T00:10:28Z,157,2B73928C,294,38,Female,White,United States,United States,United States,English,No,Full-Time
681bf5ed97a3f8798a3a8dd5,67e184908b8cd53c87ac90a2,AWAITING REVIEW,Not Applicable,2025-05-08T00:08:13Z,2025-05-08T00:18:14Z,NA,2025-05-08T00:18:15Z,601,2B73928C,312,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf61806e77edd228dfdba,55cf5cc434e9060005e56c39,AWAITING REVIEW,Not Applicable,2025-05-08T00:09:02Z,2025-05-08T00:13:29Z,NA,2025-05-08T00:13:30Z,267,2B73928C,2692,64,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf7068d42a215587af0a3,675330fb23080b9ae3ec8239,AWAITING REVIEW,Not Applicable,2025-05-08T00:12:54Z,2025-05-08T00:18:26Z,NA,2025-05-08T00:18:26Z,333,2B73928C,594,38,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681bfeb03fd728652deb3072,67ad0cc9f3a3feb73e22852d,AWAITING REVIEW,Not Applicable,2025-05-08T00:45:36Z,2025-05-08T00:53:30Z,NA,2025-05-08T00:53:31Z,475,2B73928C,784,21,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Part-Time
681c03128356299eb4e3b7bc,67edb75b0744561f1cf6ff9d,AWAITING REVIEW,Not Applicable,2025-05-08T01:04:26Z,2025-05-08T01:11:36Z,NA,2025-05-08T01:11:36Z,431,2B73928C,285,51,Female,White,United States,United States,Italy,English,No,Full-Time
681c03131562efe2563c1733,66abf0c472f051b5e40cfbfd,AWAITING REVIEW,Not Applicable,2025-05-08T01:04:31Z,2025-05-08T01:08:05Z,NA,2025-05-08T01:08:05Z,214,2B73928C,1831,63,Female,Other,United States,United States,Mexico,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681c031411ae63644110a48e,5c7c1f95e926fc00160b4b45,AWAITING REVIEW,Not Applicable,2025-05-08T01:04:24Z,2025-05-08T01:06:48Z,NA,2025-05-08T01:06:49Z,144,2B73928C,2516,60,Female,White,United States,United States,United States,English,No,Part-Time
681c03147cecc9de1b6a9217,674f0dc1e24f68c484ad6468,AWAITING REVIEW,Not Applicable,2025-05-08T01:05:57Z,2025-05-08T01:15:37Z,NA,2025-05-08T01:15:38Z,581,2B73928C,891,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
681c0315c504a5850b5748dd,67673cda94b4d0cf1a6a7382,AWAITING REVIEW,Not Applicable,2025-05-08T01:04:25Z,2025-05-08T01:07:03Z,NA,2025-05-08T01:07:03Z,158,2B73928C,649,57,Female,White,United States,United States,United States,English,No,Part-Time
681c0317d7d42482aeeeb7dd,66bbafb05de7e549455aa4ff,AWAITING REVIEW,Not Applicable,2025-05-08T01:04:28Z,2025-05-08T01:07:18Z,NA,2025-05-08T01:07:19Z,171,2B73928C,1390,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681c031b2beafb91c45c4d15,67d1f6824f74bd16996512c0,AWAITING REVIEW,Not Applicable,2025-05-08T01:04:27Z,2025-05-08T01:09:42Z,NA,2025-05-08T01:09:43Z,315,2B73928C,303,68,Male,White,Lithuania,United States,Russian Federation,English,No,Other
681c031e3c54e42f613ce36a,67f32ac5f6a4ce3d9f9c697d,AWAITING REVIEW,Not Applicable,2025-05-08T01:04:41Z,2025-05-08T01:10:23Z,NA,2025-05-08T01:10:24Z,343,2B73928C,118,59,Female,White,United States,United States,Ireland,English,No,Full-Time
681c031e3fabbffcdf06abc6,67d6ffe7dad4354b208e186d,AWAITING REVIEW,Not Applicable,2025-05-08T01:04:47Z,2025-05-08T01:20:44Z,NA,2025-05-08T01:49:06Z,958,2B73928C,245,69,Male,Black,Kenya,United States,United States,English,No,Part-Time
681c0352cc4b669d696e2ed0,5be8dab5d153f500019ab320,AWAITING REVIEW,Not Applicable,2025-05-08T01:05:28Z,2025-05-08T01:10:02Z,NA,2025-05-08T01:10:03Z,274,2B73928C,9008,50,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
